,message,case_type,conversation_id,message_id,message_number,message_source,account_number,order_id
0,"Hi, I’d like to cancel my order please.",cancel_order,1,1,1,customer,,
1,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,1,2,2,agent,,
4,"Hi, please give me some assistance cancelling my order.",cancel_order,2,5,1,customer,,
5,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,2,6,2,agent,,
8,"Hello, I need to cancel an order",cancel_order,3,9,1,customer,,
9,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,3,10,2,agent,,
13,"Hey hey, I ordered something yesterday but it was the wrong item – can I still cancel that?",cancel_order,4,14,1,customer,,
14,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,4,15,2,agent,,
17,"Hi, thanks for helping out – I want to cancel an order",cancel_order,5,18,1,customer,,
18,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,5,19,2,agent,,
23,I need to cancel my order,cancel_order,6,24,1,customer,,
24,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,6,25,2,agent,,
27,"Hello, I ordered from your service yesterday but I changed my mind, I need to cancel",cancel_order,7,28,1,customer,,
28,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,7,29,2,agent,,
31,I’d like to cancel an order with you,cancel_order,8,32,1,customer,,
32,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,8,33,2,agent,,
35,"Someone ordered something on my account, I need to cancel it",cancel_order,9,36,1,customer,,
36,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,9,37,2,agent,,
39,I would like to cancel the order I made last week if it hasn’t shipped yet,cancel_order,10,40,1,customer,,
40,Of course! Let me assist. Please share your account number and order ID and I’ll see what the options are.,cancel_order,10,41,2,agent,,
43,"I paid for an order last week, what the hell is going on?",order_status,11,44,1,customer,,
44,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,11,45,2,agent,,
47,Can you check if my order has shipped yet,order_status,12,48,1,customer,,
48,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,12,49,2,agent,,
52,"Hi, my order was supposed to arrive yesterday, any news?",order_status,13,53,1,customer,,
53,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,13,54,2,agent,,
56,"Hello there, please can I check where my order is",order_status,14,57,1,customer,,
57,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,14,58,2,agent,,
60,"Hello, I’d like to check if my order shipped yet",order_status,15,61,1,customer,,
61,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,15,62,2,agent,,
66,"Hi, I have an order due to arrive today and not sure if I should stay home, can you check where it is?",order_status,16,67,1,customer,,
67,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,16,68,2,agent,,
70,Can I check what’s going on with my order from the weekend,order_status,17,71,1,customer,,
71,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,17,72,2,agent,,
74,"I’d like to find out where my order is guys, it’s the third time I’ve had a delay",order_status,18,75,1,customer,,
75,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,18,76,2,agent,,
78,"Hey, do you know where my order is?",order_status,19,79,1,customer,,
79,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,19,80,2,agent,,
82,"Guys, I ordered something from you a month ago and nothing has arrived yet, do you have a good reason for this?",order_status,20,83,1,customer,,
83,Of course! Let me assist. Please share your account number and order ID and I’ll check that up for you.,order_status,20,84,2,agent,,
